01,03,020,2006,1893,113,311,308,3,1695,1585,110
01,03,021,1438,1297,141,219,218,1,1219,1079,140
01,03,022,2199,1407,792,717,374,343,1482,1033,449
01,03,023,49,49,0,0,0,0,49,49,0
01,03,024,4535,2305,2230,4517,2295,2222,18,10,8
01,03,025,6,5,1,0,0,0,6,5,1
01,03,027,11,11,0,0,0,0,11,11,0
01,03,028,15,11,4,0,0,0,15,11,4
01,03,029,1029,543,486,844,453,391,185,90,95
01,03,030,1,1,0,0,0,0,1,1,0
01,03,031,23,14,9,6,3,3,17,11,6
01,03,033,5,2,3,0,0,0,5,2,3
01,03,039,2,2,0,0,0,0,2,2,0
01,03,040,329,181,148,1,1,0,328,180,148
01,03,042,1,1,0,0,0,0,1,1,0
01,03,043,48,48,0,2,2,0,46,46,0
01,03,044,3,2,1,0,0,0,3,2,1
01,03,047,9,9,0,0,0,0,9,9,0
01,03,048,2,2,0,0,0,0,2,2,0
01,03,051,3,3,0,0,0,0,3,3,0
01,03,053,220,129,91,205,116,89,15,13,2
01,03,054,3,3,0,0,0,0,3,3,0
01,03,055,5,5,0,0,0,0,5,5,0
01,03,057,2,2,0,0,0,0,2,2,0
01,03,059,3,3,0,0,0,0,3,3,0
01,03,061,13,13,0,0,0,0,13,13,0
01,03,064,2,2,0,0,0,0,2,2,0
01,03,066,5,5,0,0,0,0,5,5,0
01,03,071,41,41,0,1,1,0,40,40,0
01,03,072,44,38,6,32,26,6,12,12,0
01,03,073,239,138,101,19,9,10,220,129,91
01,03,075,30,28,2,1,1,0,29,27,2
01,03,078,1,1,0,0,0,0,1,1,0
01,03,081,6,6,0,0,0,0,6,6,0
01,03,082,98,91,7,2,2,0,96,89,7
01,03,085,1,1,0,0,0,0,1,1,0
01,03,088,1,1,0,0,0,0,1,1,0
01,03,089,57,56,1,0,0,0,57,56,1
01,03,090,21,19,2,0,0,0,21,19,2
01,03,091,12,12,0,0,0,0,12,12,0
01,03,093,106,106,0,0,0,0,106,106,0
01,03,095,1,1,0,0,0,0,1,1,0
01,03,099,1,1,0,0,0,0,1,1,0
